Date;Open;High;Low;Close;Adj Close
23/12/2016;4318,41;4325,17;4315,71;4325,17;4325,17
27/12/2016;4329,87;4344,26;4329,87;4334,93;4334,93
28/12/2016;4338,25;4340,3;4297,92;4299,45;4299,45
29/12/2016;4298,86;4308,37;4289,42;4298,39;4298,39
30/12/2016;4303,09;4306,7;4268,71;4278,66;4278,66
03/01/2017;4303,12;4326,53;4290,85;4315,08;4315,08
04/01/2017;4323,26;4344,69;4323,26;4340,75;4340,75
05/01/2017;4335,89;4342,24;4321,15;4337,45;4337,45
06/01/2017;4342,88;4363,83;4329,35;4354,05;4354,05
09/01/2017;4347,58;4351,21;4338,61;4338,62;4338,62
10/01/2017;4340,21;4358,45;4331,78;4338,64;4338,64
11/01/2017;4338,47;4351,32;4323,71;4351,32;4351,32
12/01/2017;4343,42;4344,34;4311,22;4342,09;4342,09
13/01/2017;4346,48;4357,71;4344,13;4350,11;4350,11
17/01/2017;4339,6;4345,22;4327,49;4337,2;4337,2
18/01/2017;4340,31;4345,78;4329,45;4345,57;4345,57
19/01/2017;4345,67;4350,3;4319,87;4329,96;4329,96
20/01/2017;4342,08;4355,41;4332,72;4344,67;4344,67
23/01/2017;4338,04;4345,69;4317,45;4333,1;4333,1
24/01/2017;4338,23;4370,12;4335,97;4361,56;4361,56
25/01/2017;4378,42;4398,77;4378,42;4396,57;4396,57
26/01/2017;4397,15;4401,57;4388,49;4393,43;4393,43
27/01/2017;4398,14;4398,14;4383,98;4389,85;4389,85
30/01/2017;4373,45;4373,45;4339,19;4363,67;4363,67
31/01/2017;4350,54;4360,03;4337,53;4359,81;4359,81
01/02/2017;4373,65;4380,41;4348,53;4362,1;4362,1
02/02/2017;4356,89;4370,77;4347,69;4364,85;4364,85
03/02/2017;4379,96;4398,58;4378,72;4396,95;4396,95
06/02/2017;4390,97;4394,6;4380,04;4387,67;4387,67
07/02/2017;4394,21;4400,96;4383,3;4388,87;4388,87
08/02/2017;4383,52;4395,69;4375,59;4393,31;4393,31
09/02/2017;4398,01;4425,5;4398,01;4419,4;4419,4
10/02/2017;4428,09;4441,4;4425,89;4435,42;4435,42
13/02/2017;4447,32;4466,18;4446,76;4459,83;4459,83
14/02/2017;4457,02;4478,98;4449,49;4478,98;4478,98
15/02/2017;4475,8;4505,92;4474,4;4501,99;4501,99
16/02/2017;4503,19;4506,37;4482,61;4498,56;4498,56
17/02/2017;4490,58;4506,2;4484,08;4506,2;4506,2
21/02/2017;4513,39;4535,99;4513,39;4533,46;4533,46
22/02/2017;4525,69;4533,33;4520,38;4528,97;4528,97
23/02/2017;4538,47;4539,92;4514,68;4531,39;4531,39
24/02/2017;4516,98;4539,25;4511,65;4539,25;4539,25
27/02/2017;4535,84;4547,92;4529,4;4544,51;4544,51
28/02/2017;4537,61;4540,87;4523,99;4532,93;4532,93
01/03/2017;4565,38;4605,27;4565,38;4595,73;4595,73
02/03/2017;4593,79;4593,79;4565,9;4569,17;4569,17
03/03/2017;4567,39;4573,06;4556,82;4571,6;4571,6
06/03/2017;4556,57;4563,41;4542,68;4556,72;4556,72
07/03/2017;4548,25;4556,56;4538,22;4543,75;4543,75
08/03/2017;4547,79;4554,05;4530,99;4534,68;4534,68
09/03/2017;4535,71;4546,44;4518,6;4538,36;4538,36
10/03/2017;4553,13;4561,46;4535,02;4553,28;4553,28
